Mobile,Route,Community,Stop,Address,Date,Day,Frequency,Start,End,Timetable
North,Thursday Week 1,Kington St Michael,Lodge Farm Nursery,"Lodge Farm Nursery, Kington St Michael",2019-02-07,Thursday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
North,Tuesday Week 4,Kington St Michael,Post Office,"Post Office, Kington St Michael",2019-02-26,Tuesday,4,10:10,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Tuesday Week 4,Kington St Michael,School,"School, Kington St Michael",2019-02-26,Tuesday,4,09:15,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Tuesday Week 2,Lacock,High Street,"High Street, Lacock",2019-02-12,Tuesday,4,13:15,13:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/10
South,Saturday Week 2,Landford,Beech Grange,"Beech Grange, Landford",2019-02-16,Saturday,4,11:20,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Saturday Week 4,Landford,Beech Grange,"Beech Grange, Landford",2019-02-02,Saturday,4,11:20,11:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
South,Wednesday Week 2,Larkhill,Car Park,"Car Park, Larkhill",2019-02-13,Wednesday,4,14:35,15:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/41
South,Wednesday Week 4,Larkhill,Car Park,"Car Park, Larkhill",2019-01-30,Wednesday,4,14:35,15:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
South,Saturday Week 2,Laverstock,Elm Close,"Elm Close, Laverstock",2019-02-16,Saturday,4,14:45,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Saturday Week 4,Laverstock,Elm Close,"Elm Close, Laverstock",2019-02-02,Saturday,4,14:45,15:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
South,Saturday Week 2,Laverstock,Napier Crescent,"Napier Crescent, Laverstock",2019-02-16,Saturday,4,14:10,14:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/44
South,Saturday Week 4,Laverstock,Napier Crescent,"Napier Crescent, Laverstock",2019-02-02,Saturday,4,14:10,14:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/58
North,Friday Week 1,Lea,Near School,"Near School, Lea",2019-02-08,Friday,4,10:20,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Thursday Week 3,Limpley Stoke,Uplands,"Uplands, Limpley Stoke",2019-02-21,Thursday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/19
North,Saturday Week 1,Littleton Drew,Near old School,"Near old School, Littleton Drew",2019-02-09,Saturday,4,09:30,10:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Saturday Week 3,Littleton Drew,Near old School,"Near old School, Littleton Drew",2019-02-23,Saturday,4,09:30,10:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/21
South,Wednesday Week 4,Littleton Pannell,Lay-by in High Street,"Lay-by in High Street, Littleton Pannell",2019-01-30,Wednesday,4,13:45,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/55
North,Tuesday Week 3,Lockeridge,Who’d a Thought It,"Who’d a Thought It, Lockeridge",2019-02-19,Tuesday,4,10:45,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/17
South,Saturday Week 3,Lover,St Mary’s Close,"St Mary’s Close, Lover",2019-02-23,Saturday,4,14:25,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Thursday Week 1,Lower Stanton,Near Green,"Near Green, Lower Stanton",2019-02-07,Thursday,4,11:45,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Wednesday Week 1,Lower Woodford,The Wheatsheaf,"The Wheatsheaf, Lower Woodford",2019-02-06,Wednesday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Lower Woodford,The Wheatsheaf,"The Wheatsheaf, Lower Woodford",2019-02-20,Wednesday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
North,Tuesday Week 4,Luckington,Playing Fields,"Playing Fields, Luckington",2019-02-26,Tuesday,4,11:45,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
South,Thursday Week 3,Ludwell,Coronation Close Bungalows,"Coronation Close Bungalows, Ludwell",2019-02-21,Thursday,4,15:40,16:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/49
North,Thursday Week 2,Lydeway,Clock Inn Park,"Clock Inn Park, Lydeway",2019-02-14,Thursday,4,12:15,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Tuesday Week 1,Lydiard Millicent,Sun Inn,"Sun Inn, Lydiard Millicent",2019-02-05,Tuesday,4,11:40,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
Residential homes,Friday Week 4,Malmesbury,Athelstan House,"Athelstan House, Malmesbury",2019-02-01,Friday,4,11:00,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/113
Residential homes,Friday Week 4,Malmesbury,Glovers Court,"Glovers Court, Malmesbury",2019-02-01,Friday,4,10:15,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/113
Residential homes,Friday Week 4,Malmesbury,Orchard Court,"Orchard Court, Malmesbury",2019-02-01,Friday,4,12:05,12:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/113
Residential homes,Friday Week 4,Malmesbury,Townsend Court,"Townsend Court, Malmesbury",2019-02-01,Friday,4,11:35,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/113
Residential homes,Tuesday Week 2,Marlborough,Castle Court,"Castle Court, Marlborough",2019-02-12,Tuesday,4,11:10,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/96
Residential homes,Tuesday Week 2,Marlborough,Churchill Court,"Churchill Court, Marlborough",2019-02-12,Tuesday,4,13:35,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/96
Residential homes,Thursday Week 3,Marlborough,Coombe End,"Coombe End, Marlborough",2019-02-21,Thursday,4,10:15,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/105
Residential homes,Tuesday Week 2,Marlborough,Highfield,"Highfield, Marlborough",2019-02-12,Tuesday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/96
Residential homes,Thursday Week 3,Marlborough,Marlborough Lodge,"Marlborough Lodge, Marlborough",2019-02-21,Thursday,4,10:00,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/105
Residential homes,Thursday Week 3,Marlborough,Merlin Court,"Merlin Court, Marlborough",2019-02-21,Thursday,4,10:35,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/105
Residential homes,Tuesday Week 2,Marlborough,Purcells Court,"Purcells Court, Marlborough",2019-02-12,Tuesday,4,13:00,13:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/96
Residential homes,Thursday Week 3,Marlborough,St. Luke’s Court,"St. Luke’s Court, Marlborough",2019-02-21,Thursday,4,11:00,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/105
Residential homes,Tuesday Week 2,Marlborough,York Place,"York Place, Marlborough",2019-02-12,Tuesday,4,10:30,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/96
Residential homes,Friday Week 2,Melksham,Blenheim House (Sampford) ,"Blenheim House (Sampford) , Melksham",2019-02-15,Friday,4,13:00,13:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/99
Residential homes,Friday Week 2,Melksham,Brookside,"Brookside, Melksham",2019-02-15,Friday,4,10:40,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/99
Residential homes,Friday Week 2,Melksham,Kestrel Court,"Kestrel Court, Melksham",2019-02-15,Friday,4,10:05,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/99
Residential homes,Friday Week 2,Melksham,Thornbank,"Thornbank, Melksham",2019-02-15,Friday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/99
Residential homes,Friday Week 2,Melksham,Wharf Court,"Wharf Court, Melksham",2019-02-15,Friday,4,11:10,11:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/99
Residential homes,Thursday Week 1,Mere,Bramley House,"Bramley House, Mere",2019-02-07,Thursday,4,13:00,13:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
South,Friday Week 2,Milton Lilbourne,New Severalls,"New Severalls, Milton Lilbourne",2019-02-15,Friday,4,13:45,14:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/43
North,Tuesday Week 1,Minety,Bus shelter,"Bus shelter, Minety",2019-02-05,Tuesday,4,14:15,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Tuesday Week 1,Minety,Derry Park,"Derry Park, Minety",2019-02-05,Tuesday,4,13:50,14:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
North,Saturday Week 1,Neston,Pitts Croft,"Pitts Croft, Neston",2019-02-09,Saturday,4,15:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Saturday Week 3,Neston,Pitts Croft,"Pitts Croft, Neston",2019-02-23,Saturday,4,15:00,15:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/21
North,Wednesday Week 1,Nettleton,Long Leaze,"Long Leaze, Nettleton",2019-02-06,Wednesday,4,14:20,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/3
North,Wednesday Week 3,Nettleton,Long Leaze,"Long Leaze, Nettleton",2019-02-20,Wednesday,4,14:20,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/18
South,Friday Week 1,Newton Tony,The School,"The School, Newton Tony",2019-02-08,Friday,4,11:10,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Newton Tony,The School,"The School, Newton Tony",2019-02-22,Friday,4,11:10,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
South,Saturday Week 1,Nomansland,The Green,"The Green, Nomansland",2019-02-09,Saturday,4,09:30,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Saturday Week 3,Nomansland,The Green,"The Green, Nomansland",2019-02-23,Saturday,4,09:30,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Friday Week 1,Oaksey,Bendy Bow,"Bendy Bow, Oaksey",2019-02-08,Friday,4,13:00,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/5
North,Friday Week 3,Oaksey,Bendy Bow,"Bendy Bow, Oaksey",2019-02-22,Friday,4,13:00,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Friday Week 4,Oare,Bus stop lay-by,"Bus stop lay-by, Oare",2019-02-01,Friday,4,15:30,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Thursday Week 4,Ogbourne St George,Liddiards Green,"Liddiards Green, Ogbourne St George",2019-01-31,Thursday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/26
South,Wednesday Week 1,Old Sarum,Pheasant Drive,"Pheasant Drive, Old Sarum",2019-02-06,Wednesday,4,10:00,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Old Sarum,Pheasant Drive,"Pheasant Drive, Old Sarum",2019-02-20,Wednesday,4,10:00,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
Residential homes,Monday Week 1,Pewsey,Edwardian Court,"Edwardian Court, Pewsey",2019-02-04,Monday,4,10:45,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/88
Residential homes,Monday Week 1,Pewsey,Manor Court,"Manor Court, Pewsey",2019-02-04,Monday,4,09:45,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/88
Residential homes,Monday Week 1,Pewsey,Meadow Court,"Meadow Court, Pewsey",2019-02-04,Monday,4,10:20,10:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/88
North,Saturday Week 2,Pewsham,King’s Lodge School,"King’s Lodge School, Pewsham",2019-02-16,Saturday,4,10:30,12:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/14
North,Saturday Week 4,Pewsham,King’s Lodge School,"King’s Lodge School, Pewsham",2019-02-02,Saturday,4,10:30,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/28
South,Tuesday Week 3,Pitton,Black Lane,"Black Lane, Pitton",2019-02-19,Tuesday,4,10:00,10:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Tuesday Week 3,Pitton,School,"School, Pitton",2019-02-19,Tuesday,4,10:25,10:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Tuesday Week 3,Pitton,Village Hall,"Village Hall, Pitton",2019-02-19,Tuesday,4,09:30,09:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/47
South,Friday Week 1,Porton,Malvern Way,"Malvern Way, Porton",2019-02-08,Friday,4,13:20,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/36
South,Friday Week 3,Porton,Malvern Way,"Malvern Way, Porton",2019-02-22,Friday,4,13:20,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/50
North,Monday Week 1,Potterne,St Mary’s Close,"St Mary’s Close, Potterne",2019-02-04,Monday,4,15:05,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Monday Week 1,Potterne,The School,"The School, Potterne",2019-02-04,Monday,4,14:00,15:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Monday Week 1,Poulshot,The Raven Pub,"The Raven Pub, Poulshot",2019-02-04,Monday,4,12:40,13:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
Residential homes,Tuesday Week 1,Purton,Ashgrove House,"Ashgrove House, Purton",2019-02-05,Tuesday,4,10:30,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
Residential homes,Tuesday Week 1,Purton,Hooks Hill,"Hooks Hill, Purton",2019-02-05,Tuesday,4,10:15,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/89
South,Saturday Week 3,Quavey,The Well,"The Well, Quavey",2019-02-23,Saturday,4,13:55,14:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Thursday Week 2,Rowde,Maundrell Close,"Maundrell Close, Rowde",2019-02-14,Thursday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Saturday Week 1,Rudloe,Westwood Road,"Westwood Road, Rudloe",2019-02-09,Saturday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Saturday Week 3,Rudloe,Westwood Road,"Westwood Road, Rudloe",2019-02-23,Saturday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/21
South,Monday Week 1,Rushall,Pewsey Road,"Pewsey Road, Rushall",2019-02-04,Monday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/32
Residential homes,Wednesday Week 2,Salisbury,Abbeyfield,"Abbeyfield, Salisbury",2019-02-13,Wednesday,4,11:10,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 3,Salisbury,Archers Court,"Archers Court, Salisbury",2019-02-20,Wednesday,4,13:15,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
Residential homes,Wednesday Week 4,Salisbury,Bemerton Lodge ,"Bemerton Lodge , Salisbury",2019-01-30,Wednesday,4,09:55,10:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
Residential homes,Wednesday Week 3,Salisbury,Braemar Lodge,"Braemar Lodge, Salisbury",2019-02-20,Wednesday,4,11:25,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
Residential homes,Wednesday Week 1,Salisbury,Brympton House ,"Brympton House , Salisbury",2019-02-06,Wednesday,4,13:00,13:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
Residential homes,Wednesday Week 3,Salisbury,Gloucester House,"Gloucester House, Salisbury",2019-02-20,Wednesday,4,10:50,11:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
Residential homes,Wednesday Week 4,Salisbury,Hardy House,"Hardy House, Salisbury",2019-01-30,Wednesday,4,11:30,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
Residential homes,Wednesday Week 2,Salisbury,Harnham Croft,"Harnham Croft, Salisbury",2019-02-13,Wednesday,4,12:20,12:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 4,Salisbury,Laverstock Care Centre,"Laverstock Care Centre, Salisbury",2019-01-30,Wednesday,4,10:25,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
Residential homes,Wednesday Week 2,Salisbury,Milford House,"Milford House, Salisbury",2019-02-13,Wednesday,4,10:40,11:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 4,Salisbury,Philip Court,"Philip Court, Salisbury",2019-01-30,Wednesday,4,09:30,09:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
Residential homes,Wednesday Week 1,Salisbury,Robert Stokes Almshouse,"Robert Stokes Almshouse, Salisbury",2019-02-06,Wednesday,4,11:00,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
Residential homes,Wednesday Week 2,Salisbury,Salisbury Manor,"Salisbury Manor, Salisbury",2019-02-13,Wednesday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 2,Salisbury,St. Andrews,"St. Andrews, Salisbury",2019-02-13,Wednesday,4,10:10,10:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 3,Salisbury,St. Mark's House,"St. Mark's House, Salisbury",2019-02-20,Wednesday,4,12:50,13:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
Residential homes,Wednesday Week 1,Salisbury,St. Nicholas,"St. Nicholas, Salisbury",2019-02-06,Wednesday,4,11:35,12:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
Residential homes,Wednesday Week 2,Salisbury,Tower House,"Tower House, Salisbury",2019-02-13,Wednesday,4,11:30,12:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/97
Residential homes,Wednesday Week 3,Sarum,Avonbourne Centre,"Avonbourne Centre, Sarum",2019-02-20,Wednesday,4,10:15,10:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/104
North,Friday Week 4,Savernake,School,"School, Savernake",2019-02-01,Friday,4,10:00,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 2,Savernake,The Warren,"The Warren, Savernake",2019-02-15,Friday,4,10:00,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/13
North,Friday Week 4,Savernake,The Warren,"The Warren, Savernake",2019-02-01,Friday,4,10:35,11:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
Residential homes,Thursday Week 1,Sedgehill,Hays Park,"Hays Park, Sedgehill",2019-02-07,Thursday,4,10:45,11:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
North,Monday Week 1,Seend,The Lye,"The Lye, Seend",2019-02-04,Monday,4,09:40,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Monday Week 1,Seend Cleeve,Telephone box,"Telephone box, Seend Cleeve",2019-02-04,Monday,4,10:05,10:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/1
North,Wednesday Week 4,Semington,Littlemarsh,"Littlemarsh, Semington",2019-01-30,Wednesday,4,10:30,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
North,Wednesday Week 2,Semington,Village Hall,"Village Hall, Semington",2019-02-13,Wednesday,4,10:30,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Friday Week 4,Shalbourne,Kingston Road,"Kingston Road, Shalbourne",2019-02-01,Friday,4,14:15,14:55,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
North,Friday Week 4,Shalbourne,The Plough,"The Plough, Shalbourne",2019-02-01,Friday,4,13:25,14:10,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/27
Residential homes,Monday Week 3,Shaw,Mavern House,"Mavern House, Shaw",2019-02-18,Monday,4,14:00,14:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/102
North,Saturday Week 1,Sherston,High Street,"High Street, Sherston",2019-02-09,Saturday,4,10:30,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/6
North,Saturday Week 3,Sherston,High Street,"High Street, Sherston",2019-02-23,Saturday,4,10:30,12:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/21
South,Wednesday Week 1,Shrewton,Hindes Meadow,"Hindes Meadow, Shrewton",2019-02-06,Wednesday,4,13:30,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Shrewton,Hindes Meadow,"Hindes Meadow, Shrewton",2019-02-20,Wednesday,4,13:30,13:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
South,Wednesday Week 1,Shrewton,Maddington Church Rooms,"Maddington Church Rooms, Shrewton",2019-02-06,Wednesday,4,14:00,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Shrewton,Maddington Church Rooms,"Maddington Church Rooms, Shrewton",2019-02-20,Wednesday,4,14:00,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
Residential homes,Wednesday Week 1,South Newton,Glenside,"Glenside, South Newton",2019-02-06,Wednesday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/90
South,Saturday Week 1,South Newton,Vale View Road,"Vale View Road, South Newton",2019-02-09,Saturday,4,15:45,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/37
South,Saturday Week 3,South Newton,Vale View Road,"Vale View Road, South Newton",2019-02-23,Saturday,4,15:45,16:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/51
North,Monday Week 3,Spirthill,Naish House Farm,"Naish House Farm, Spirthill",2019-02-18,Monday,4,09:30,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
North,Thursday Week 2,Stanton St Bernard,Village Hall,"Village Hall, Stanton St Bernard",2019-02-14,Thursday,4,10:30,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/12
North,Tuesday Week 4,Stanton St Quintin,School,"School, Stanton St Quintin",2019-02-26,Tuesday,4,13:35,14:05,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/24
North,Friday Week 3,Startley,Near Greystones,"Near Greystones, Startley",2019-02-22,Friday,4,09:30,09:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/20
North,Wednesday Week 2,Steeple Ashton,Longs Arms pub,"Longs Arms pub, Steeple Ashton",2019-02-13,Wednesday,4,11:00,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/11
North,Wednesday Week 4,Steeple Ashton,Longs Arms pub,"Longs Arms pub, Steeple Ashton",2019-01-30,Wednesday,4,11:00,12:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/25
Residential homes,Wednesday Week 4,Steeple Langford,Edgars Close,"Edgars Close, Steeple Langford",2019-01-30,Wednesday,4,12:20,12:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/111
North,Monday Week 3,Stockley,Telephone box,"Telephone box, Stockley",2019-02-18,Monday,4,14:15,14:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/16
South,Wednesday Week 1,Stratford-sub-Castle,Castle Keep,"Castle Keep, Stratford-sub-Castle",2019-02-06,Wednesday,4,11:00,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/34
South,Wednesday Week 3,Stratford-sub-Castle,Castle Keep,"Castle Keep, Stratford-sub-Castle",2019-02-20,Wednesday,4,11:00,11:25,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/48
North,Thursday Week 1,Sutton Benger,Bell Piece,"Bell Piece, Sutton Benger",2019-02-07,Thursday,4,14:55,16:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/4
South,Friday Week 4,Sutton Veny,School,"School, Sutton Veny",2019-02-01,Friday,4,09:45,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
Residential homes,Thursday Week 1,Sutton Veny,Sutton Veny House,"Sutton Veny House, Sutton Veny",2019-02-07,Thursday,4,09:00,09:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
South,Tuesday Week 4,Teffont,Lay-by opposite Frith’s Barn,"Lay-by opposite Frith’s Barn, Teffont",2019-02-26,Tuesday,4,14:20,14:40,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/54
South,Friday Week 4,Tilshead,Near the Church,"Near the Church, Tilshead",2019-02-01,Friday,4,11:55,12:20,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/57
Residential homes,Thursday Week 1,Tisbury,Nadder Close,"Nadder Close, Tisbury",2019-02-07,Thursday,4,09:45,10:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/91
North,Tuesday Week 1,Tockenham,Church,"Church, Tockenham",2019-02-05,Tuesday,4,09:45,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/2
South,Tuesday Week 2,Tollard Royal,The Pond,"The Pond, Tollard Royal",2019-02-12,Tuesday,4,15:10,15:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/40
Residential homes,Thursday Week 2,Trowbridge,Avondown Court,"Avondown Court, Trowbridge",2019-02-14,Thursday,4,13:00,13:30,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Thursday Week 2,Trowbridge,Charlotte Court,"Charlotte Court, Trowbridge",2019-02-14,Thursday,4,13:40,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Florence Court,"Florence Court, Trowbridge",2019-02-08,Friday,4,13:30,14:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Thursday Week 2,Trowbridge,Grove Court,"Grove Court, Trowbridge",2019-02-14,Thursday,4,10:05,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Thursday Week 2,Trowbridge,Manor Court ,"Manor Court , Trowbridge",2019-02-14,Thursday,4,11:00,11:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Thursday Week 2,Trowbridge,Maple Grove ,"Maple Grove , Trowbridge",2019-02-14,Thursday,4,10:20,10:50,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Old Vicarage,"Old Vicarage, Trowbridge",2019-02-08,Friday,4,10:00,10:15,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Thursday Week 2,Trowbridge,Romney House,"Romney House, Trowbridge",2019-02-14,Thursday,4,11:30,11:45,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/98
Residential homes,Friday Week 1,Trowbridge,Staverton House,"Staverton House, Trowbridge",2019-02-08,Friday,4,09:45,10:00,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/92
Residential homes,Friday Week 3,Trowbridge,Teazle Court,"Teazle Court, Trowbridge",2019-02-22,Friday,4,09:15,09:35,http://services.wiltshire.gov.uk/MobileLibrary/Library/Round/106
